2192	А. А. Коринфский	«Поздно! Цветы облетают...»	Д3	3	2	В сердце нежданно запала\nИскра живого тепла:\nВсё пережить бы сначала\nИ ― догореть бы дотла!..
2209	К. Р.	«Помнишь, порою ночною...»	Д3	7	5	Дивная песнь навевала\nГрезы блаженной любви,\nВ душу она проникала,\nСтрасть разжигала в крови…
4676	А. А. Фет	Кукушка, «Пышные гнутся макушки...»	Д3	3	1	Сердце!  ― вот утро ― люби же\nВсё, чем жило на веку;\nСлышится ближе и ближе,\nКак золотое, ― ку-ку.
4969	А. А. Фет	«Только что спрячется солнце...»	Д3	3	1	Чистой и вольной душою,\nЯсной и свежей, как ночь,\nСмейся над песнью больною,\nПрочь отгоняй ее, прочь!
5128	А. А. Фет	«Утром курится поляна...»	Д3	3	2	Утро, как сон новобрачной,\nПолно стыда и огня, ―\nВсё, что вечор было мрачно,\nЯсно в сиянии дня.
5133	А. А. Фет	Горный ключ, «С камня на камень висящий...»	Д3	6	1	Был при деннице румян ты,\nБыл при луне бледен ты,\nГордо носил бриллианты,\nСкромно ― цветы и листы.
5444	А. А. Фет	«Слышу ли песенки звуки...» [из Гейне]	Д3	2	1	Так и потянет невольно\nВ горы да к темным лесам, ―\nВсё, что и горько, и больно,\nМожет быть, выплачу там.
7054	И. Коневской	Душный час, «Таинство душное дышит...»	Д3	2	0	Таинство душное дышит\nВ полдень, в сосновом бору.\nЗноем так воздух и пышет.\nНебо в кипучем жару.
8194	М. Лохвицкая	«Что-то призывное было...»	Д3	4	3	Грани веков между нами\nВстали бессильной стеной.\nДруг мой, мы связаны снами,\nТы неразлучна со мной».
8557	А. Н. Майков	И. А. Гончарову, «Море и земли чужие...»	Д3	5	1	Север наш бледный, но милый,\nМилый затем, что родной,\nНыне опять мне унылой\nВдруг показался тюрьмой.
8650	А. Н. Майков	«В легком челне мы с тобою...»	Д3	3	1	Остров стоял, как виденье,\nЛунным лучом осиян;\nПесни оттуда звучали\nСквозь серебристый туман.
9803	М. Л. Михайлов	Груня, «Снег засыпает окошко...»	Д3	7	0	Снег засыпает окошко,\nС треском лучина горит…\nДремлет старик на полатях,\nС пряжей старуха сидит.
9821	М. Л. Михайлов	«Смело, друзья! Не теряйте...»	Д3	1	0	Если погибнуть придется\nВ тюрьмах и шахтах сырых, ―\nДело, друзья, отзовется\nНа поколеньях живых.
9854	М. Л. Михайлов	«Зимние вьюги завыли...»	Д3	2	0	Зимние вьюги завыли\nВ наших пустынях глухих;\nСаваном снега накрыли\nМертвых они и живых.
10649	Н. А. Некрасов	Демону, «Где ты, мой старый мучитель...»	Д3	6	1	Дуешь, бывало, на пламя ―\nПламя пылает сильней,\nКраше волнуется знамя\nЮности гордой моей.
10899	Н. А. Некрасов	Рассыльный, «Люди бегут, суетятся...»	Д3	13	5	Цензор в спокойствии нашем\nРавную ролю играл, ―\nРаньше, бывало, мы ляжем,\nЕсли статью подписал;
10959	Н. А. Некрасов	Мысли журналиста при чтении программы, обещающей не щадить литературных авторитетов, «Что ты задумал, несчастный?..»	Д3	15	7	Дорог ужасно Тургенев ―\nПублики первый герой ―\nЭта Елена, Берсенев,\nЭтот Инсаров… ой-ой!
11070	И. С. Никитин	Ночь на берегу моря, «В зеркало влаги холодной...»	Д3	4	0	В зеркало влаги холодной\nМесяц спокойно глядит\nИ над землею безмолвной\nТихо плывет и горит.
11123	И. С. Никитин	Три встречи, «Помню я вечер весенний...»	Д3	15	12	Помню: в толпе разнородной\nТы замечала не раз\nОтзыв насмешки холодной,\nЗвуки двусмысленных фраз.
11240	И. С. Никитин	Старый слуга, «Сохнет старик от печали...»	Д3	15	1	Не ждал он горькой невзгоды,\nБарину верно служил…\nКак его в прежние годы\nСтарый слуга мой любил!
11693	А. Н. Плещеев	Челнок, «Сядем в челнок мы, малютка...»	Д3	3	2	Стану я ей любоваться,\nГлазки твои целовать…\nТак ли?  А месяц и звезды\nБудут над нами сиять!
11694	А. Н. Плещеев	Могила, «Листья шумели уныло...»	Д3	2	0	Листья шумели уныло\nНочью осенней порой;\nГроб опускали в могилу,\nГроб, озаренный луной.
11708	А. Н. Плещеев	Песня, «Выйдем на берег там волны...»	Д3	5	3	Много они нас терзали,\nМучили много, друг мой:\nТе ― своей глупой любовью,\nТе ― бесконечной враждой.
11916	А. Н. Плещеев	«Ветер осенний колышет...»	Д3	5	4	Шум вкруг меня раздается;\nСлышу я говор ветвей:\n«Что тебе нужно, безумец,\nС глупой мечтою своей?»
13514	Н. Ф. Щербина	Весенний гимн, «Сладко на солнце дремлю я...»	Д3	1	0	О Миродержец!  Отрадно\nСтройность в душе ощутить…\nДай же мне долго и жадно\nЖизни до дна не допить!
13849	Н. Ф. Щербина	Исход, «В мире есть бурные грозы...»	Д3	3	0	В мире есть бурные грозы,\nГрозы сменяет покой,\nЛета румяные розы\nСнег покрывает седой.
13984	К. К. Случевский	Женщина и дети. Философ, «Милая, ты меня просишь...»	Д3	7	6	Старец солгал, поучая:\nТот, кто ― влюбленный ― сидит,\nС милою ночь коротая,\nТот, несомненно, не спит…
14006	К. К. Случевский	Лирические, «Вдоль бесконечного луга ...»	Д3	4	2	В сердце людском чувств немало…\nДва или три между них\nИздавна, крепко внедрились,\nСтали ветвистей других!
14064	К. К. Случевский	Черноземная полоса. 15., «С кленами неклен взрастает...»	Д3	3	0	С кленами неклен взрастает\nСпор у деревьев идет!\nНеклену клен объясняет:\n«Хрупки вы, слабый народ!»
14085	К. К. Случевский	Черноземная полоса. 36., «Выложен гроб лоскутками...»	Д3	4	3	Всякий идущий за гробом\nМо́лча лелеет мечту ―\nСказано: встанет старушка\nВся и в огнях, и в свету!
14096	К. К. Случевский	Мурманские отголоски. 10., «Снега заносы по скалам...»	Д3	6	4	Здесь ― до болот ниспадает\nГрань вековечных снегов;\nТихая жизнь не свевает\nЯркости Божьих цветов;
14227	К. К. Случевский	Песни из уголка, «Сколько хороших мечтаний...»	Д3	3	2	Я доигрался!  Я ― дома!\nСкромен, спокоен и прав, ―\nНож и пилу анатома\nС ветвью оливы связав!
14273	К. К. Случевский	Песни из уголка, «Полдень прекрасен. В лазури...»	Д3	3	0	Полдень прекрасен.  В лазури\nМалого облачка нет,\nДаже и тени прозрачны, ―\nТак удивителен свет!
14291	К. К. Случевский	Песни из уголка, «Ветер несется могучий...»	Д3	3	1	Сосны навстречу!  Недвижны\nРозовой грудью стволов…\nЗнать: грудь на грудь!  Так и нужно!\nВ мире обычай таков…
14338	К. К. Случевский	Песни из уголка, «В лиственной чаще шумливо...»	Д3	5	1	Но не сравнить с этим шума,\nЕжели дрогнет хвоя!\nВ каждой игле ― своя дума,\nВ каждой ― и песня своя…
14371	К. К. Случевский	Песни из уголка, «Полно! Прислушайся к песне...»	Д3	3	0	Полно!  Прислушайся к песне…\nМожет быть, в душу твою\nЛасковых звуков порядок\nМирную пустит струю.
14385	К. К. Случевский	Песни из уголка, «Ярких цветов мириады...»	Д3	5	2	Слышат древесные ветки,\nСтали цветам отвечать:\n«Полно вам, милые детки,\nБез толку хором болтать!
14623	К. К. Случевский	«Топчутся волны на месте...»	Д3	2	0	Топчутся волны на месте;\nС ветром играет река;\nВетер проносится с моря,\nСтанет река глубока!
